Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,sales,year,month,day
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Men's Apparel,$80.00 ,475,"$380,000 ","$76,000 ",20%,In-store,380000,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Apparel,$85.00 ,300,"$255,000 ","$114,750 ",45%,In-store,255000,2021,8,17
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Street Footwear,$60.00 ,500,"$300,000 ","$90,000 ",30%,In-store,300000,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Athletic Footwear,$65.00 ,500,"$325,000 ","$81,250 ",25%,In-store,325000,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Women's Street Footwear,$60.00 ,300,"$180,000 ","$54,000 ",30%,In-store,180000,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Women's Athletic Footwear,$60.00 ,250,"$150,000 ","$45,000 ",30%,In-store,150000,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Apparel,$70.00 ,275,"$192,500 ","$38,500 ",20%,In-store,192500,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Women's Apparel,$55.00 ,300,"$165,000 ","$74,250 ",45%,In-store,165000,2021,9,18
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Street Footwear,$50.00 ,400,"$200,000 ","$60,000 ",30%,In-store,200000,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Athletic Footwear,$65.00 ,575,"$373,750 ","$93,438 ",25%,In-store,373750,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Women's Street Footwear,$60.00 ,400,"$240,000 ","$72,000 ",30%,In-store,240000,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Women's Athletic Footwear,$55.00 ,375,"$206,250 ","$61,875 ",30%,In-store,206250,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Apparel,$65.00 ,350,"$227,500 ","$45,500 ",20%,In-store,227500,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Women's Apparel,$70.00 ,400,"$280,000 ","$126,000 ",45%,In-store,280000,2021,10,17
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Men's Athletic Footwear,$55.00 ,600,"$330,000 ","$115,500 ",35%,Online,330000,2021,7,16
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Street Footwear,$50.00 ,525,"$262,500 ","$105,000 ",40%,Online,262500,2021,7,16
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Athletic Footwear,$50.00 ,475,"$237,500 ","$95,000 ",40%,Online,237500,2021,7,16
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Men's Apparel,$60.00 ,500,"$300,000 ","$105,000 ",35%,Online,300000,2021,7,16
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Apparel,$65.00 ,675,"$438,750 ","$219,375 ",50%,Online,438750,2021,7,16
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Men's Street Footwear,$60.00 ,825,"$495,000 ","$198,000 ",40%,Online,495000,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Men's Athletic Footwear,$55.00 ,600,"$330,000 ","$115,500 ",35%,Online,330000,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Street Footwear,$50.00 ,525,"$262,500 ","$105,000 ",40%,Online,262500,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Athletic Footwear,$40.00 ,475,"$190,000 ","$76,000 ",40%,Online,190000,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Men's Apparel,$50.00 ,450,"$225,000 ","$78,750 ",35%,Online,225000,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Apparel,$55.00 ,625,"$343,750 ","$171,875 ",50%,Online,343750,2021,8,17
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Men's Street Footwear,$50.00 ,725,"$362,500 ","$145,000 ",40%,Online,362500,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Men's Athletic Footwear,$45.00 ,525,"$236,250 ","$82,688 ",35%,Online,236250,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,$20.00 ,425,"$85,000 ","$34,000 ",40%,Online,85000,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,400,"$80,000 ","$32,000 ",40%,Online,80000,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Men's Apparel,$30.00 ,400,"$120,000 ","$42,000 ",35%,Online,120000,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Apparel,$35.00 ,500,"$175,000 ","$87,500 ",50%,Online,175000,2021,9,16
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Street Footwear,$35.00 ,675,"$236,250 ","$94,500 ",40%,Online,236250,2021,10,18
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Athletic Footwear,$25.00 ,500,"$125,000 ","$43,750 ",35%,Online,125000,2021,10,18
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Street Footwear,$25.00 ,375,"$93,750 ","$37,500 ",40%,Online,93750,2021,10,18
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,350,"$87,500 ","$35,000 ",40%,Online,87500,2021,10,18
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Apparel,$35.00 ,350,"$122,500 ","$42,875 ",35%,Online,122500,2021,10,18
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Street Footwear,$55.00 ,775,"$426,250 ","$170,500 ",40%,Online,426250,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Athletic Footwear,$50.00 ,525,"$262,500 ","$91,875 ",35%,Online,262500,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Street Footwear,$45.00 ,450,"$202,500 ","$81,000 ",40%,Online,202500,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Athletic Footwear,$45.00 ,400,"$180,000 ","$72,000 ",40%,Online,180000,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Apparel,$60.00 ,425,"$255,000 ","$89,250 ",35%,Online,255000,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Apparel,$65.00 ,600,"$390,000 ","$156,000 ",40%,Online,390000,2021,7,19
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Street Footwear,$60.00 ,750,"$450,000 ","$180,000 ",40%,Online,450000,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Athletic Footwear,$55.00 ,525,"$288,750 ","$101,063 ",35%,Online,288750,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Street Footwear,$50.00 ,450,"$225,000 ","$90,000 ",40%,Online,225000,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Athletic Footwear,$40.00 ,400,"$160,000 ","$64,000 ",40%,Online,160000,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Apparel,$50.00 ,375,"$187,500 ","$65,625 ",35%,Online,187500,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Apparel,$55.00 ,550,"$302,500 ","$121,000 ",40%,Online,302500,2021,8,20
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Street Footwear,$50.00 ,650,"$325,000 ","$130,000 ",40%,Online,325000,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Athletic Footwear,$40.00 ,450,"$180,000 ","$63,000 ",35%,Online,180000,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,350,"$52,500 ","$21,000 ",40%,Online,52500,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,$15.00 ,325,"$48,750 ","$19,500 ",40%,Online,48750,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Apparel,$25.00 ,325,"$81,250 ","$28,438 ",35%,Online,81250,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Apparel,$30.00 ,425,"$127,500 ","$51,000 ",40%,Online,127500,2021,9,19
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Street Footwear,$30.00 ,600,"$180,000 ","$72,000 ",40%,Online,180000,2021,10,21
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,425,"$85,000 ","$29,750 ",35%,Online,85000,2021,10,21
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Street Footwear,$20.00 ,300,"$60,000 ","$24,000 ",40%,Online,60000,2021,10,21
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Athletic Footwear,$20.00 ,275,"$55,000 ","$22,000 ",40%,Online,55000,2021,10,21
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Apparel,$30.00 ,275,"$82,500 ","$28,875 ",35%,Online,82500,2021,10,21
Walmart,1128299,2021-08-10,West,Hawaii,Honolulu,Men's Apparel,$69.00 ,147,"$10,143 ","$2,739 ",27%,Online,10143,2021,8,10
Walmart,1128299,2021-08-10,West,Hawaii,Honolulu,Women's Apparel,$72.00 ,88,"$6,336 ","$3,358 ",53%,Online,6336,2021,8,10
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Street Footwear,$62.00 ,149,"$9,238 ","$3,326 ",36%,Online,9238,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Athletic Footwear,$69.00 ,149,"$10,281 ","$3,393 ",33%,Online,10281,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Women's Street Footwear,$64.00 ,105,"$6,720 ","$2,621 ",39%,Online,6720,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Women's Athletic Footwear,$62.00 ,85,"$5,270 ","$2,108 ",40%,Online,5270,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Apparel,$71.00 ,91,"$6,461 ","$1,938 ",30%,Online,6461,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Women's Apparel,$56.00 ,105,"$5,880 ","$3,116 ",53%,Online,5880,2021,9,11
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Men's Street Footwear,$52.00 ,124,"$6,448 ","$2,579 ",40%,Online,6448,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Men's Athletic Footwear,$61.00 ,138,"$8,418 ","$2,525 ",30%,Online,8418,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Women's Street Footwear,$56.00 ,87,"$4,872 ","$1,705 ",35%,Online,4872,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Women's Athletic Footwear,$50.00 ,83,"$4,150 ","$1,536 ",37%,Online,4150,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Men's Apparel,$63.00 ,70,"$4,410 ","$1,235 ",28%,Online,4410,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Women's Apparel,$64.00 ,75,"$4,800 ","$2,448 ",51%,Online,4800,2021,10,10
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Street Footwear,$83.00 ,261,"$21,663 ","$9,532 ",44%,Online,21663,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Athletic Footwear,$88.00 ,225,"$19,800 ","$7,920 ",40%,Online,19800,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Street Footwear,$86.00 ,189,"$16,254 ","$7,152 ",44%,Online,16254,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Athletic Footwear,$82.00 ,180,"$14,760 ","$6,347 ",43%,Online,14760,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Apparel,$89.00 ,195,"$17,355 ","$5,554 ",32%,Online,17355,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Apparel,$101.00 ,163,"$16,463 ","$9,384 ",57%,Online,16463,2021,7,16
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Men's Street Footwear,$87.00 ,213,"$18,531 ","$7,598 ",41%,Online,18531,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Men's Athletic Footwear,$77.00 ,206,"$15,862 ","$5,552 ",35%,Online,15862,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Street Footwear,$78.00 ,189,"$14,742 ","$6,339 ",43%,Online,14742,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Athletic Footwear,$77.00 ,143,"$11,011 ","$4,625 ",42%,Online,11011,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Men's Apparel,$74.00 ,143,"$10,582 ","$3,280 ",31%,Online,10582,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Apparel,$81.00 ,87,"$7,047 ","$4,087 ",58%,Online,7047,2021,8,17
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Street Footwear,$58.00 ,140,"$8,120 ","$3,248 ",40%,Online,8120,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Athletic Footwear,$60.00 ,135,"$8,100 ","$2,997 ",37%,Online,8100,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Women's Street Footwear,$54.00 ,75,"$4,050 ","$1,823 ",45%,Online,4050,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Women's Athletic Footwear,$54.00 ,65,"$3,510 ","$1,544 ",44%,Online,3510,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Apparel,$64.00 ,74,"$4,736 ","$1,468 ",31%,Online,4736,2021,9,18
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Women's Apparel,$51.00 ,75,"$3,825 ","$2,104 ",55%,Online,3825,2021,9,18
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Street Footwear,$47.00 ,100,"$4,700 ","$2,068 ",44%,Online,4700,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Athletic Footwear,$59.00 ,144,"$8,496 ","$3,228 ",38%,Online,8496,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Women's Street Footwear,$55.00 ,112,"$6,160 ","$2,526 ",41%,Online,6160,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Women's Athletic Footwear,$51.00 ,113,"$5,763 ","$2,363 ",41%,Online,5763,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Apparel,$59.00 ,98,"$5,782 ","$1,792 ",31%,Online,5782,2021,10,17
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Women's Apparel,$65.00 ,104,"$6,760 ","$3,921 ",58%,Online,6760,2021,10,17
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Men's Athletic Footwear,$53.00 ,156,"$8,268 ","$3,721 ",45%,Online,8268,2021,7,16
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Street Footwear,$48.00 ,142,"$6,816 ","$3,408 ",50%,Online,6816,2021,7,16
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Athletic Footwear,$48.00 ,124,"$5,952 ","$3,155 ",53%,Online,5952,2021,7,16
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Men's Apparel,$59.00 ,150,"$8,850 ","$4,248 ",48%,Online,8850,2021,7,16
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Apparel,$61.00 ,176,"$10,736 ","$6,549 ",61%,Online,10736,2021,7,16
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Men's Street Footwear,$56.00 ,215,"$12,040 ","$6,502 ",54%,Online,12040,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Men's Athletic Footwear,$50.00 ,168,"$8,400 ","$4,032 ",48%,Online,8400,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Street Footwear,$48.00 ,147,"$7,056 ","$3,669 ",52%,Online,7056,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Athletic Footwear,$39.00 ,128,"$4,992 ","$2,596 ",52%,Online,4992,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Men's Apparel,$46.00 ,122,"$5,612 ","$2,525 ",45%,Online,5612,2021,8,17
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Apparel,$53.00 ,169,"$8,957 ","$5,822 ",65%,Online,8957,2021,8,17
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Men's Street Footwear,$47.00 ,203,"$9,541 ","$5,152 ",54%,Online,9541,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Men's Athletic Footwear,$42.00 ,147,"$6,174 ","$2,778 ",45%,Online,6174,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,$19.00 ,123,"$2,337 ","$1,169 ",50%,Online,2337,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,$19.00 ,100,"$1,900 ","$1,045 ",55%,Online,1900,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Men's Apparel,$29.00 ,108,"$3,132 ","$1,503 ",48%,Online,3132,2021,9,16
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Apparel,$32.00 ,130,"$4,160 ","$2,579 ",62%,Online,4160,2021,9,16
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Street Footwear,$32.00 ,176,"$5,632 ","$3,041 ",54%,Online,5632,2021,10,18
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Athletic Footwear,$25.00 ,145,"$3,625 ","$1,631 ",45%,Online,3625,2021,10,18
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Street Footwear,$24.00 ,98,"$2,352 ","$1,270 ",54%,Online,2352,2021,10,18
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,$23.00 ,105,"$2,415 ","$1,208 ",50%,Online,2415,2021,10,18
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Apparel,$32.00 ,98,"$3,136 ","$1,568 ",50%,Online,3136,2021,10,18
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Street Footwear,$50.00 ,233,"$11,650 ","$5,825 ",50%,Online,11650,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Athletic Footwear,$47.00 ,147,"$6,909 ","$3,109 ",45%,Online,6909,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Street Footwear,$43.00 ,126,"$5,418 ","$2,763 ",51%,Online,5418,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Athletic Footwear,$41.00 ,116,"$4,756 ","$2,568 ",54%,Online,4756,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Apparel,$55.00 ,119,"$6,545 ","$3,207 ",49%,Online,6545,2021,7,19
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Apparel,$63.00 ,150,"$9,450 ","$5,103 ",54%,Online,9450,2021,7,19
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Street Footwear,$55.00 ,210,"$11,550 ","$6,237 ",54%,Online,11550,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Athletic Footwear,$50.00 ,152,"$7,600 ","$3,648 ",48%,Online,7600,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Street Footwear,$47.00 ,126,"$5,922 ","$3,079 ",52%,Online,5922,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Athletic Footwear,$39.00 ,104,"$4,056 ","$2,028 ",50%,Online,4056,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Apparel,$48.00 ,113,"$5,424 ","$2,658 ",49%,Online,5424,2021,8,20
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Apparel,$50.00 ,143,"$7,150 ","$3,718 ",52%,Online,7150,2021,8,20
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Street Footwear,$48.00 ,182,"$8,736 ","$4,543 ",52%,Online,8736,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Athletic Footwear,$39.00 ,126,"$4,914 ","$2,359 ",48%,Online,4914,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,$14.00 ,88,"$1,232 ",$641 ,52%,Online,1232,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,$14.00 ,88,"$1,232 ",$641 ,52%,Online,1232,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Apparel,$23.00 ,94,"$2,162 ","$1,081 ",50%,Online,2162,2021,9,19
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Apparel,$29.00 ,119,"$3,451 ","$1,864 ",54%,Online,3451,2021,9,19
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Street Footwear,$27.00 ,150,"$4,050 ","$2,025 ",50%,Online,4050,2021,10,21
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,$19.00 ,106,"$2,014 ",$906 ,45%,Online,2014,2021,10,21
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Street Footwear,$19.00 ,78,"$1,482 ",$741 ,50%,Online,1482,2021,10,21
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Athletic Footwear,$19.00 ,72,"$1,368 ",$725 ,53%,Online,1368,2021,10,21
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Apparel,$27.00 ,83,"$2,241 ","$1,053 ",47%,Online,2241,2021,10,21
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Street Footwear,$68.00 ,297,"$20,196 ","$7,473 ",37%,Outlet,20196,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Athletic Footwear,$74.00 ,263,"$19,462 ","$5,449 ",28%,Outlet,19462,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Street Footwear,$72.00 ,238,"$17,136 ","$5,826 ",34%,Outlet,17136,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Athletic Footwear,$59.00 ,186,"$10,974 ","$3,621 ",33%,Outlet,10974,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Apparel,$68.00 ,208,"$14,144 ","$3,112 ",22%,Outlet,14144,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Apparel,$75.00 ,195,"$14,625 ","$6,874 ",47%,Outlet,14625,2021,7,16
